timestep,reward
2,-0.976
3768,-0.7735
7282,-0.5895
10474,-0.3765
13418,-0.262
16051,-0.195
18332,-0.1935
20526,-0.198
22708,-0.228
24830,-0.199
26970,-0.182
29214,-0.151
31568,-0.142
33885,-0.1715
36312,-0.1695
38809,-0.1045
41356,-0.0825
44053,-0.1455
46710,-0.0985
49682,-0.088
52728,-0.032
55805,-0.0685
58835,-0.1055
61840,-0.0965
64827,-0.102
68014,-0.0825
71123,-0.056
74274,-0.044
77351,-0.0755
80539,-0.0935
83608,-0.034
86758,-0.0495
90019,-0.0575
93125,-0.062
96253,-0.0375
99477,-0.079
102605,-0.104
105696,-0.059
108922,-0.065
112049,-0.0535
115057,-0.0485
118057,-0.0715
121083,-0.066
124229,-0.0995
127424,-0.029
130432,-0.067
133662,-0.079
136778,-0.064
139966,-0.0945
143240,-0.088
